faculty,application,lowest_score,highest_score
دیپارتمنت زبان و ادبیات فارسی دری (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,151.1559,226.9778
دیپارتمنت جغرافیه (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,152.3472,207.6244
دیپارتمنت علوم و فرهنگ اسلامی (ذکور) پوهنځی تعلیم و تربیه پوهنتون کندهار ,60,166.425,191.2091
دیپارتمنت عمومی (ذکور) پوهنځی طب پوهنتون شیخ زاید خوست ,60,320.3953,341.3195
دیپارتمنت اداره و دیپلوماسی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون شیخ زاید خوست ,60,224.9824,317.8763
دیپارتمنت سیول (ذکور) پوهنځی انجنیری پوهنتون شیخ زاید خوست ,60,289.559,317.2317
دیپارتمنت تکنالوژی معلوماتی (ذکور) پوهنځی کمپیوتر ساینس پوهنتون شیخ زاید خوست ,60,273.1283,312.2454
دیپارتمنت مهندسی (ذکور) پوهنځی انجنیری پوهنتون شیخ زاید خوست ,60,233.679,303.6346
دیپارتمنت حفاظۀ نباتات (ذکور) پوهنځی زراعت پوهنتون شیخ زاید خوست ,60,171.6632,301.9637
دیپارتمنت سیستم های معلوماتی (ذکور) پوهنځی کمپیوتر ساینس پوهنتون شیخ زاید خوست ,60,259.5246,299.4282
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) (ذکور) پوهنځی اقتصاد پوهنتون شیخ زاید خوست ,60,259.8216,293.7676
دیپارتمنت برق (ذکور) پوهنځی انجنیری پوهنتون شیخ زاید خوست ,60,237.1418,291.1232
دیپارتمنت اقتصاد ملی (ذکور) پوهنځی اقتصاد پوهنتون شیخ زاید خوست ,60,228.0668,285.6276
دیپارتمنت امورمالی و بانکی (ذکور) پوهنځی اقتصاد پوهنتون شیخ زاید خوست ,60,231.9872,283.8159
دیپارتمنت اقتصاد و توسعۀ زراعتی (ذکور) پوهنځی زراعت پوهنتون شیخ زاید خوست ,60,179.9055,279.9626
دیپارتمنت ژورنالیزم (ذکور) پوهنځی ژورنالیزم پوهنتون شیخ زاید خوست ,60,204.2408,275.4086
دیپارتمنت بیولوژی (ذکور) پوهنځی تعلیم و تربیه پوهنتون شیخ زاید خوست ,60,191.3499,271.0141
دیپارتمنت تعلیمات اسلامی (ذکور) پوهنځی شرعیات پوهنتون شیخ زاید خوست ,60,203.6204,258.8558
دیپارتمنت کیمیا (ذکور) پوهنځی تعلیم و تربیه پوهنتون شیخ زاید خوست ,60,154.1534,256.3665
دیپارتمنت زبان و ادبیات پشتو (ذکور) پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست ,60,195.7917,255.1763
دیپارتمنت قضا و څارنوالی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون شیخ زاید خوست ,60,216.3045,253.4713
دیپارتمنت زبان و ادبیات انگلیسی (ذکور) پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست ,60,218.455,252.7486
دیپارتمنت عمومی (ذکور) پوهنځی علوم وترنری پوهنتون شیخ زاید خوست ,60,191.4159,252.6342
دیپارتمنت زبان و ادبیات عربی (ذکور) پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست ,60,177.0191,247.2134
دیپارتمنت ریاضی (ذکور) پوهنځی تعلیم و تربیه پوهنتون شیخ زاید خوست ,60,166.5625,238.4002
دیپارتمنت فزیک (ذکور) پوهنځی تعلیم و تربیه پوهنتون شیخ زاید خوست ,60,162.7873,232.6208
دیپارتمنت فقه و قانون (ذکور) پوهنځی شرعیات پوهنتون شیخ زاید خوست ,60,192.4037,231.7122
دیپارتمنت ارتباطات عامه (ذکور) پوهنځی ژورنالیزم پوهنتون شیخ زاید خوست ,60,188.6043,231.5098
دیپارتمنت هارتیکلچر (باغداری) (ذکور) پوهنځی زراعت پوهنتون شیخ زاید خوست ,60,172.7896,229.2559
دیپارتمنت فلسفه و جامعه شناسی (ذکور) پوهنځی علوم اجتماعی پوهنتون شیخ زاید خوست ,60,170.5467,228.1174
دیپارتمنت اگرانومی (ذکور) پوهنځی زراعت پوهنتون شیخ زاید خوست ,60,163.4022,226.3079
دیپارتمنت اگری بزنس (ذکور) پوهنځی زراعت پوهنتون شیخ زاید خوست ,60,174.5518,221.2028
دیپارتمنت علوم حیوانی (ذکور) پوهنځی زراعت پوهنتون شیخ زاید خوست ,60,169.3345,218.5045
دیپارتمنت زبان و ادبیات اردو (ذکور) پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست ,60,150.6059,213.8746
دیپارتمنت تاریخ و جغرافیه (ذکور) پوهنځی علوم اجتماعی پوهنتون شیخ زاید خوست ,60,175.1227,207.6761
دیپارتمنت زبان و ادبیات فارسی دری (ذکور) پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست ,60,151.2483,199.1335
دیپارتمنت عمومی (ذکور) پوهنځی طب معالجوی پوهنتون هرات ,60,333.5799,355.4204
دیپارتمنت انجنیری نرم افزار (ذکور) پوهنځی کمپیوتر ساینس پوهنتون هرات ,60,306.6365,341.6616
دیپارتمنت میکاترونیک (ذکور) پوهنځی انجنیری پوهنتون هرات ,60,241.3471,333.7383
دیپارتمنت عمومی (ذکور) پوهنځی ستوماتولوژی پوهنتون هرات ,60,309.7957,329.5066
دیپارتمنت دیتابیس (ذکور) پوهنځی کمپیوتر ساینس پوهنتون هرات ,60,285.3757,329.2118
دیپارتمنت اقتصاد ملی (ذکور) پوهنځی اقتصاد پوهنتون هرات ,60,276.8804,328.3373
دیپارتمنت سیول (ذکور) پوهنځی انجنیری پوهنتون هرات ,60,288.2093,327.927
دیپارتمنت قضا و څارنوالی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون هرات ,60,219.6023,316.1856
دیپارتمنت نتورک (ذکور) پوهنځی کمپیوتر ساینس پوهنتون هرات ,60,269.5236,315.4948
دیپارتمنت اقتصاد تصدی (ذکور) پوهنځی اقتصاد پوهنتون هرات ,60,253.732,313.7095
دیپارتمنت ادارۀ عامه (ذکور) پوهنځی اداره و پالیسی عامه پوهنتون هرات ,60,240.7245,308.7683
دیپارتمنت امورمالی و بانکی (ذکور) پوهنځی اقتصاد پوهنتون هرات ,60,259.9789,307.4373
دیپارتمنت عمومی (ذکور) پوهنځی علوم وترنری پوهنتون هرات ,60,186.038,306.477
