faculty,application,lowest_score,highest_score
انستیتیوت ترنم و فرهنگ ولایت کابل,43,145.2728,150.3825
انستیتیوت روشن دلان ولایت کابل,43,147.7739,149.5905
انستیتیوت کثیرالرشتوی ناحیه ۱۹ شهر کابل,43,148.7081,148.7081
دارالعلوم/دارالحفاظ عمریه شرعیه  ولایت کابل,43,146.671,147.684
دارالعلوم/دارالحفاظ الله گل مجاهد ولایت کابل,43,146.1656,146.1656
دیپارتمنت عمومی پوهنځی طب پوهنتون کندهار,43,321.6404,342.4475
دیپارتمنت عمومی پوهنځی کمپیوتر ساینس پوهنتون کندهار,43,279.0444,335.2591
دیپارتمنت سیول پوهنځی انجنیری پوهنتون کندهار,43,277.7918,320.5943
دیپارتمنت عمومی پوهنځی فارمسی پوهنتون کندهار,43,285.631,319.5597
دیپارتمنت انرژی پوهنځی انجنیری پوهنتون کندهار,43,211.6277,317.8545
دیپارتمنت مهندسی پوهنځی انجنیری پوهنتون کندهار,43,239.8535,313.1538
دیپارتمنت فزیک پوهنځی تعلیم و تربیه پوهنتون کندهار,43,152.1539,302.8045
دیپارتمنت انجنیری منابع آب و حفاظت محیط زیست پوهنځی انجنیری پوهنتون کندهار,43,195.9493,302.2848
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) پوهنځی اقتصاد پوهنتون کندهار,43,249.5751,301.9349
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه پوهنتون کندهار,43,158.5395,293.0932
دیپارتمنت عمومی پوهنځی اداره و پالیسی عامه پوهنتون کندهار,43,215.5363,270.1065
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون کندهار,43,186.4933,266.8123
دیپارتمنت آموزش کمپیوتر پوهنځی تعلیم و تربیه پوهنتون کندهار,43,191.8112,247.4373
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی زبان و ادبیات پوهنتون کندهار,43,193.0773,242.9816
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی تعلیم و تربیه پوهنتون کندهار,43,178.3344,241.4694
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه پوهنتون کندهار,43,175.803,240.8341
دیپارتمنت رادیو تلویزیون پوهنځی ژورنالیزم پوهنتون کندهار,43,186.5266,239.7678
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون کندهار,43,173.7217,237.4197
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون کندهار,43,173.6346,237.3019
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون کندهار,43,186.1059,236.991
دیپارتمنت مطبوعات پوهنځی ژورنالیزم پوهنتون کندهار,43,173.9312,235.1424
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه پوهنتون کندهار,43,150.6019,232.4653
دیپارتمنت علوم و فرهنگ اسلامی پوهنځی تعلیم و تربیه پوهنتون کندهار,43,150.5045,205.3301
دیپارتمنت زبان و ادبیات پشتو پوهنځی زبان و ادبیات پوهنتون کندهار,43,158.8482,204.6572
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون کندهار (مدارس),43,153.3096,201.0245
